it,m,p,t,penalty,CL,CD,score
0,0.045668382119421175,0.5144257221107815,0.0753736359210655,0.0,0.0,1000000000.0,0.0
1,0.009138726162790104,0.4785281500310944,0.11353875306888368,0.0,0.0,1000000000.0,0.0
2,0.05344754945271149,0.5573786558791453,0.12226300324637389,0.0,0.0,1000000000.0,0.0
3,0.03546862896665827,0.4722858107198025,0.10723565481984339,0.0,0.0,1000000000.0,0.0
4,0.05587417414140611,0.24789343540044914,0.07405242790801325,0.0,0.0,1000000000.0,0.0
5,0.0025410330948100255,0.5536582845467268,0.14514939421207448,0.0,0.0,1000000000.0,0.0
6,0.05941929985957635,0.2566383554275099,0.11378947359052212,0.0,0.0,1000000000.0,0.0
7,0.02236214047840405,0.21947938892554053,0.07311387493374696,0.0,0.0,1000000000.0,0.0
8,0.014763996690296308,0.226212173567353,0.11461414108941148,0.0,0.0,1000000000.0,0.0
9,0.05282281800766153,0.41448016524455006,0.1346150435832908,0.0,0.0,1000000000.0,0.0
10,0.02888948041957684,0.5837329390542433,0.13830230409031957,0.0,0.0,1000000000.0,0.0
11,0.037362524699292486,0.5003354338979439,0.1552362460634853,0.0,0.0,1000000000.0,0.0
12,0.05059937314571874,0.5912817723058245,0.14939898309356262,0.0,0.0,1000000000.0,0.0
13,0.023668891076325263,0.49511902244254913,0.0908942351188756,0.0,0.0,1000000000.0,0.0
14,0.002650506176649676,0.36050598567444536,0.09887240027251634,0.0,0.0,1000000000.0,0.0
15,0.047685033505054306,0.5350867432748164,0.09412765614880907,0.0,0.0,1000000000.0,0.0
16,0.014181626123012674,0.21964705750001606,0.07843221990453102,0.0,0.0,1000000000.0,0.0
17,0.018499992237170654,0.2509104793316157,0.1260287630289909,0.0,0.0,1000000000.0,0.0
18,0.012479884422507633,0.40756585699483366,0.15719288837338447,0.0,0.0,1000000000.0,0.0
19,0.05301179018542245,0.3205281430650461,0.1524231736245426,0.0,0.0,1000000000.0,0.0
20,0.03662012332741078,0.44941854785709834,0.07620957506610289,0.0,0.0,1000000000.0,0.0
21,0.013672067193170026,0.5037364400089549,0.12647773509802313,0.0,0.0,1000000000.0,0.0
22,0.00903589723458021,0.23536091628026976,0.14090342309337794,0.0,0.0,1000000000.0,0.0
23,0.05157184750855951,0.37930094182149754,0.09353848482842275,0.0,0.0,1000000000.0,0.0
24,0.026892965254269968,0.30608538244502637,0.10712820145221036,0.0,0.0,1000000000.0,0.0
25,0.032034337963342374,0.5087442163375703,0.10546415476175486,0.0,0.0,1000000000.0,0.0
26,0.010219145286709736,0.2276552649864458,0.1473457070398226,0.0,0.0,1000000000.0,0.0
27,0.04969187114936015,0.487340225269262,0.13034115543251662,0.0,0.0,1000000000.0,0.0
28,0.009792401083067226,0.4253264966791849,0.10417119251959385,0.0,0.0,1000000000.0,0.0
29,0.053198733487669285,0.5277037542239945,0.11914053600825386,0.0,0.0,1000000000.0,0.0
